"date"	"hour"	"precip"	"drivers_onduty"	"drivers_occupied"	"t_onduty"	"t_occupied"	"n_pass"	"n_trip"	"n_mile"	"earnings"
"25"	"2010-01-12"	2	NA	1234	1234	509.274722222	299.524722222	3629	1760	5894.01041102	21303.427479
"26"	"2010-01-12"	14	NA	5314	5314	4447.55944444	2444.31916667	24925	12636	31351.9815213	136284.324335
"27"	"2010-01-13"	9	NA	5435	5435	4998.42722222	2960.4475	28900	14986	35649.1375186	161515.565781
"28"	"2010-01-13"	10	NA	5331	5331	4182.90694444	2361.70444444	24059	12411	29461.6250297	130997.620938
"29"	"2010-01-13"	22	NA	5493	5493	4626.605	2413.70416667	28095	13574	41125.7607845	162317.588028
"30"	"2010-01-14"	5	NA	1281	1281	469.724444444	276.549166667	3519	1741	6916.2583119	24522.8142497
"31"	"2010-01-14"	17	NA	5464	5464	4080.65416667	2744.08722222	27755	13771	34686.7004411	160621.238575
"32"	"2010-01-15"	1	NA	3616	3616	2392.54527778	1056.04527778	11922	5726	19466.4940655	71988.1535678
"33"	"2010-01-15"	13	NA	4919	4919	3875.67583333	2243.61916667	22974	11667	30314.4027627	127862.023344
"34"	"2010-01-16"	8	NA	2667	2667	1330.02777778	695.329166667	9282	4688	14386.3888571	51409.8570163
"35"	"2010-01-16"	21	NA	5590	5590	4083.08083333	2387.9425	28588	13150	33398.9094456	142099.678618
"36"	"2010-01-17"	4	NA	3475	3475	2421.36055556	1283.52777778	13638	6273	24402.4117812	87150.287559
"37"	"2010-01-17"	16	3	4728	4728	3737.39833333	2253.76944444	26401	12395	32763.2140906	131404.58641
"38"	"2010-01-18"	0	3	3294	3294	2551.69111111	1322.51888889	15833	7396	24326.2272815	90676.3075809
"39"	"2010-01-18"	12	NA	4271	4271	3183.08222222	1792.65305556	21042	10498	27091.5987614	110047.229214
"40"	"2010-01-19"	7	NA	4376	4376	3149.91888889	1813.18805556	21650	11385	28750.0473363	113305.942901
"41"	"2010-01-19"	19	NA	5923	5923	5003	2723.47694444	30935	15439	38617.8143886	176025.221743
"42"	"2010-01-19"	20	NA	5595	5595	4425.41777778	2332.33583333	27365	13572	37506.7677055	154664.559814
"43"	"2010-01-20"	7	NA	4425	4425	3439.30305556	1833.35055556	22171	11636	27853.2719531	112680.200819
"44"	"2010-01-20"	19	NA	6065	6065	5687.55916667	3194.03444444	34918	17374	42414.976769	198879.719972
"45"	"2010-01-20"	20	NA	5954	5954	5008.68083333	2809.09444444	31940	15703	41802.6966365	177357.741307
"46"	"2010-01-21"	3	NA	1189	1189	541.492777778	290.126111111	3505	1628	6028.25881603	21069.4601736
"47"	"2010-01-21"	15	NA	5553	5553	4352.41111111	2721.415	25591	12896	34420.9602915	148022.53293
"48"	"2010-01-22"	11	NA	5161	5161	3787.44611111	2144.94138889	22450	11488	27031.7932204	119486.329638
"49"	"2010-01-22"	23	NA	5975	5975	5798.92527778	3328.385	37664	17397	48519.8402094	199839.872775
"50"	"2010-01-23"	6	NA	1444	1444	575.6375	366.820833333	4181	2086	8937.25905353	29913.1287255
"51"	"2010-01-23"	18	NA	5554	5554	5049.95944444	3041.01694444	34591	16177	37435.7678991	161393.937723
"52"	"2010-01-24"	2	NA	5269	5269	4995.60472222	2532.39	29289	13439	42251.4821549	161972.908554
"53"	"2010-01-24"	14	NA	4909	4909	4135.12138889	2612.85388889	29926	14348	36278.0068822	150228.916337
"54"	"2010-01-25"	9	19	5090	5090	4711.04388889	2959.76861111	26595	14087	29958.1347894	145954.864138
"55"	"2010-01-25"	10	23	5062	5062	4156.43111111	2409.06944444	23025	11972	25720.2483507	123099.369061
"56"	"2010-01-25"	22	NA	4409	4409	3002.18722222	1568.3725	17975	8909	29387.6345072	112335.343325
"57"	"2010-01-26"	5	NA	1149	1149	443.9675	246.3675	3190	1591	6154.61295123	21305.1843054
"58"	"2010-01-26"	17	NA	5340	5340	4152.24416667	2494.71833333	27554	13892	32481.7649762	153577.904452
"59"	"2010-01-27"	1	NA	2351	2351	1077.22722222	592.351944444	6893	3346	11476.3696365	42192.8121427
"60"	"2010-01-27"	13	NA	5414	5414	3676.76361111	2239.01694444	23013	11787	28668.9267829	125693.305543
"61"	"2010-01-28"	8	4	5349	5349	4835.43166667	3186.4675	30533	15949	33924.8599458	159790.704514
"62"	"2010-01-28"	21	NA	6066	6066	5422.98638889	3209.07777778	37252	17967	49281.7546764	204332.715781
"63"	"2010-01-29"	4	NA	1309	1309	704.398333333	350.915	3955	1883	7608.71286754	26474.5477081
"64"	"2010-01-29"	16	NA	5490	5490	4031.275	2578.42722222	24743	12406	32729.947664	151956.811927
"65"	"2010-01-30"	4	NA	2970	2970	1958.86694444	1009.24027778	10883	5009	19340.3738835	68859.8560184
"66"	"2010-01-30"	16	NA	5237	5237	4078.12555556	2441.76833333	28295	13713	33293.7655326	140855.326024
"67"	"2010-01-31"	0	NA	5796	5796	5819.95027778	3448.38361111	38525	17656	47648.3212625	201575.896228
"68"	"2010-01-31"	12	NA	4475	4475	3594.90138889	2030.75555556	26195	12783	31178.2082492	127291.121167
"69"	"2010-02-01"	8	NA	4091	4091	3552.85083333	2419.65388889	15264	13208	29885.1134408	132428.011976
"70"	"2010-02-01"	21	NA	4237	4237	3207.38805556	1774.39861111	13852	10991	30882.0158629	124351.478417
"71"	"2010-02-02"	4	NA	928	928	342.825833333	217.238611111	1519	1218	4973.70220924	16791.7299384
"72"	"2010-02-02"	16	NA	4038	4038	2349.68583333	1631.12111111	11430	9263	22570.7291471	104947.395642
"73"	"2010-02-03"	0	2	3410	3410	1994.05611111	1213.14277778	7208	5653	19156.8969733	73512.5362347
"74"	"2010-02-03"	12	NA	4308	4308	3306.00305556	1964.05416667	12626	10611	24167.9289723	109432.419338
"75"	"2010-02-04"	7	NA	3824	3824	2844.39222222	1670.28972222	12498	11157	258501.754992	104390.562419
"76"	"2010-02-04"	19	NA	4850	4850	4210.38611111	2937.875	19281	15602	36102.2491241	176154.502677
"77"	"2010-02-04"	20	NA	4848	4848	4151.59472222	2711.68777778	18484	14858	37680.0828276	165298.857366
"78"	"2010-02-05"	3	NA	1776	1776	880.902222222	485.065	3735	2826	9668.50484808	35125.9322781
"79"	"2010-02-05"	15	NA	4374	4374	3223.15083333	2274.58416667	13726	11023	28499.0577354	123400.238368
"80"	"2010-02-06"	11	NA	3364	3364	2416.36166667	1227.48	12210	9353	19655.4890828	81348.7118332
"81"	"2010-02-06"	23	NA	4598	4598	4070.05138889	2720.92944444	24274	15381	39606.7949786	162324.831019
"82"	"2010-02-07"	6	NA	1342	1342	529.341388889	334.035555556	2256	1882	8299.90268672	27507.2843909
"83"	"2010-02-07"	18	NA	3811	3811	3136.11916667	2135.19333333	16925	12661	33999.6937154	133931.876157
"84"	"2010-02-08"	2	NA	2178	2178	1068.89916667	587.394166667	5537	3389	11739.5005438	41953.7636212
"85"	"2010-02-08"	14	NA	8928	8928	6988.52305556	3825.28277778	34303	21394	52433.9446665	222709.54564
"86"	"2010-02-09"	9	NA	9800	9800	8609.03305556	5215.38222222	41603	26667	60016.5447822	277692.046266
"87"	"2010-02-09"	10	NA	9568	9568	7373.73222222	4234.17222222	34471	21834	50403.8265069	229211.086093
"88"	"2010-02-09"	22	0	9652	9652	7881.65833333	4473.1175	40887	24131	69007.7511204	282028.830749
"89"	"2010-02-10"	9	8	5463	5463	4432.19305556	2359.41861111	22848	14681	28332.4861728	130717.372709
"90"	"2010-02-10"	10	8	5427	5427	3856.96888889	1880.79833333	20198	12612	23446.3316868	107896.725448
"91"	"2010-02-10"	22	4	3270	3270	3035.77805556	1815.06194444	20450	11551	27634.0138237	117145.381838
"92"	"2010-02-11"	5	NA	1729	1729	778.297222222	467.226111111	4604	2969	10736.2540463	39059.2721717
"93"	"2010-02-11"	17	NA	9538	9538	7104.46638889	4867.48055556	43441	26133	64256.2442436	298038.539767
"94"	"2010-02-12"	1	NA	6983	6983	4368.44194444	2276.14555556	20619	12042	40126.1756558	152594.650257
"95"	"2010-02-12"	13	NA	9262	9262	7696.39055556	5239.96944444	37343	23067	56792.8634813	266168.838983
"96"	"2010-02-13"	8	NA	5731	5731	2959.31333333	1537.81111111	16434	10404	29323.3275444	108673.904102
"97"	"2010-02-13"	21	NA	10501	10501	9828.46527778	6095.79722222	59179	31395	75180.1630156	339949.171722
"98"	"2010-02-14"	4	NA	6645	6645	4425.98805556	2524.60333333	21844	11972	46874.2863106	168333.656384
"99"	"2010-02-14"	16	NA	8744	8744	6256.36444444	4612.21222222	38955	21591	58865.7315812	248804.719348
"100"	"2010-02-15"	0	NA	7681	7681	6580.54888889	3645.47972222	36379	19901	8393888.68251	237784.549648
"101"	"2010-02-15"	12	NA	7982	7982	6202.18833333	3629.56222222	36147	21301	388838.514295	219384.716686
"102"	"2010-02-16"	7	1	7463	7463	5739.11083333	3203.99583333	30901	20265	50884.2492419	198850.289459
"103"	"2010-02-16"	19	0	10030	10030	8883.60416667	5283.60916667	50995	30194	71637.7862272	334843.572517
"104"	"2010-02-16"	20	0	9654	9654	8183.69694444	4762.6875	45647	27108	71007.3507746	302882.586355
"105"	"2010-02-17"	3	NA	2112	2112	1146.28111111	559.218333333	5171	3193	10730.1915751	39111.5006525
"106"	"2010-02-17"	15	NA	9610	9610	7660.47638889	5209.44472222	40351	24168	63843.5805795	278712.056859
"107"	"2010-02-18"	11	NA	9659	9659	7676.67361111	4641.7075	36719	22471	54453.526973	242858.616698
"108"	"2010-02-18"	23	NA	9915	9915	8548.53166667	4829.85666667	45066	25563	79780.6883545	314422.00673
"109"	"2010-02-19"	6	NA	5226	5226	2770.54638889	1496.56277778	15916	10442	31812.0961506	114360.990893
"110"	"2010-02-19"	18	NA	10375	10375	9447.38166667	6327.445	54259	31731	75263.8034171	362385.680557
"111"	"2010-02-20"	6	NA	3241	3241	1498.24666667	874.045833333	7904	4950	21672.0455486	71001.58874
"112"	"2010-02-20"	18	NA	9574	9574	8438.94083333	5636.87277778	53733	29460	66917.3783839	293927.61414
"113"	"2010-02-21"	2	NA	9317	9317	8573.92527778	4670.39611111	46356	24909	78126.3313628	300650.443449
"114"	"2010-02-21"	14	NA	8722	8722	7106.62833333	4545.92722222	40035	22829	64574.7665026	263610.889411
"115"	"2010-02-22"	9	NA	9226	9226	8126.83305556	4870.27138889	38690	24949	61241.2893723	269558.547751
"116"	"2010-02-22"	10	NA	9097	9097	6946.63194444	3876.18638889	31865	20304	4064131.53164	223310.10531
"117"	"2010-02-22"	22	0	8771	8771	6747.88833333	3755.10972222	36083	21350	71903.4182858	254553.337346
"118"	"2010-02-23"	5	0	2414	2414	1000.64555556	541.071388889	5374	3514	12798.7573289	45356.3696734
"119"	"2010-02-23"	17	3	9414	9414	7553.555	5125.22333333	42016	25261	57508.5230261	282750.358952
"120"	"2010-02-24"	1	9	4825	4825	2525.6375	1341.87444444	12041	7151	26093.8629961	94984.6141991
"121"	"2010-02-24"	13	NA	9539	9539	7514.59861111	4434.56083333	36256	22600	55046.3660277	244711.845993
"122"	"2010-02-25"	8	12	9352	9352	8461.89083333	5778.05416667	45639	29111	63324.4723199	293669.101832
"123"	"2010-02-25"	21	8	8392	8392	7499.40527778	4570.86472222	43565	25298	76036.6383193	276255.988468
"124"	"2010-02-26"	4	11	1638	1638	972.061388889	638.1525	3931	2356	8826.27868554	33471.0090358
"125"	"2010-02-26"	16	0	6446	6446	4616.08305556	2781.12777778	27831	16264	41366.1866403	183777.000578
"126"	"2010-02-27"	0	0	8420	8420	7920.53388889	4533.5675	45064	24378	73089.0485479	286521.571434
"127"	"2010-02-27"	12	NA	8297	8297	6699.47	3886.94027778	38507	22331	54000.5739305	225763.273407
"128"	"2010-02-28"	7	NA	3490	3490	1581.18722222	898.375833333	8583	5394	21104.029418	70552.0730127
"129"	"2010-02-28"	19	NA	8484	8484	6583.00361111	3678.9825	36306	20626	57965.7882076	224475.505726
"130"	"2010-02-28"	20	NA	8112	8112	5945.50805556	3210.38305556	31159	17875	55052.2583601	212332.577332
"131"	"2010-03-01"	7	NA	3572	3572	2652.73444444	1634.23222222	11464	10252	25351.0845	101020.362226
"132"	"2010-03-01"	19	NA	4669	4669	3997.94944444	2483.14166667	16097	13240	32883.2317189	152209.989299
"133"	"2010-03-01"	20	NA	4528	4528	3557.54333333	2113.27138889	14418	11791	32401.3845929	134276.984522
"134"	"2010-03-02"	3	NA	1009	1009	437.410833333	249.628611111	1780	1406	5182.26225404	17970.8687739
"135"	"2010-03-02"	15	NA	4278	4278	3216.6475	2197.12	13759	11057	27441.2576916	118074.674843
"136"	"2010-03-03"	11	NA	4487	4487	3416.4625	2112.48	12598	10700	23759.0511168	110463.547963
"137"	"2010-03-03"	23	NA	4359	4359	3142.66777778	1783.1975	12415	9729	31981.7887662	122548.668279
"138"	"2010-03-04"	6	NA	2676	2676	1416.42666667	748.9375	6035	5572	15486.2740962	57221.0127865
"139"	"2010-03-04"	18	NA	4755	4755	3958.10583333	3055.41833333	17576	14118	34021.8867823	166669.030868
"140"	"2010-03-05"	2	NA	2510	2510	1421.10861111	778.549444444	6063	4552	15879.8786876	55386.2984926
"141"	"2010-03-05"	14	NA	4453	4453	3653.24083333	2515.54472222	15336	12371	30592.0104763	135120.358047
"142"	"2010-03-06"	9	NA	3379	3379	2384.68138889	1274.51027778	10566	8339	1690076.23546	82051.7144624
"143"	"2010-03-06"	10	NA	3675	3675	2767.56833333	1564.33416667	12731	9839	22746.1056583	94249.1789591
"144"	"2010-03-06"	22	NA	4705	4705	4037.51611111	2795.82694444	22322	14445	135729.018789	156994.447045
"145"	"2010-03-07"	5	NA	1922	1922	896.489722222	560.506111111	3600	2754	12656.1270796	42124.8065166
"146"	"2010-03-07"	17	NA	3968	3968	2829.72638889	2135.68638889	13850	9967	28305.3555285	116517.66749
"147"	"2010-03-08"	1	NA	3989	3989	1951.11861111	1045.11527778	9638	5641	22325.7049913	77134.5021619
"148"	"2010-03-08"	13	NA	8686	8686	6479.29527778	3612.06416667	31575	19573	50084.9517117	209776.332273
"149"	"2010-03-09"	8	NA	9449	9449	8470.95055556	5228.67388889	43516	27796	63590.9256407	283357.523683
"150"	"2010-03-09"	21	NA	9962	9962	8345.47111111	4894.36916667	46261	27355	79424.3763038	320525.542719
"151"	"2010-03-10"	8	NA	9478	9478	8660.31305556	5414.65833333	44166	28165	66334.0203929	293306.592894
"152"	"2010-03-10"	21	NA	10182	10182	8912.19083333	5180.80833333	49184	28749	81792.3628495	334167.574977
"153"	"2010-03-11"	4	NA	2256	2256	986.905277778	582.375833333	5244	3180	13751.8692312	47205.7085
"154"	"2010-03-11"	16	NA	9602	9602	6221.45361111	4512.40583333	35555	21417	60009.5087293	269428.420136
"155"	"2010-03-12"	0	NA	9390	9390	6987.25666667	3769.47611111	34117	19679	66456.8743282	252815.60332
"156"	"2010-03-12"	12	0	9245	9245	7648.78472222	5162.98777778	40795	25293	59824.988095	273712.484565
"157"	"2010-03-13"	7	8	4279	4279	2290.66666667	1248.98111111	12018	7819	25905.5976582	92488.5627119
"158"	"2010-03-13"	19	15	9984	9984	9716.23083333	6677.74472222	61847	33490	83479.842085	354266.477623
"159"	"2010-03-13"	20	41	10221	10221	9995.00888889	6513.74722222	60323	32611	84626.6077925	362580.130526
"160"	"2010-03-14"	3	NA	7858	7858	6537.40277778	3628.79055556	34874	18439	56517.9710593	213648.185151
"161"	"2010-03-14"	15	0	8664	8664	6865.2625	4462.38194444	40185	22410	65692.8007662	259701.069898
"162"	"2010-03-15"	11	1	8766	8766	6593.52333333	3695.21111111	32411	20243	50394.9601107	212675.993244
"163"	"2010-03-15"	23	0	8154	8154	5545.21	2965.98	26346	15545	55015.9804303	206957.810247
"164"	"2010-03-16"	6	NA	4845	4845	2575.80416667	1373.97333333	15302	10286	27371.6079038	101624.717217
"165"	"2010-03-16"	18	NA	10395	10395	9396.0275	6048.70333333	49600	29647	72351.3939652	349943.920879
"166"	"2010-03-17"	2	NA	3506	3506	1925.53416667	957.6075	9144	5418	18782.2332557	68097.4129244
"167"	"2010-03-17"	14	NA	9147	9147	7441.46861111	4843.06305556	35503	21390	83068.0739837	251410.52541
"168"	"2010-03-18"	9	NA	9860	9860	8916.94222222	5874.57722222	41837	26570	65643.2055256	300086.304641
"169"	"2010-03-18"	10	NA	9903	9903	8333.72027778	5124.16444444	36857	23204	57355.8275594	267506.875861
"170"	"2010-03-18"	22	NA	10337	10337	9224.44611111	5730.85222222	50613	28941	88689.1986544	354020.954208
"171"	"2010-03-19"	5	NA	2919	2919	1304.93611111	755.651111111	6699	4214	18928.5446139	65089.0915519
"172"	"2010-03-19"	17	NA	9409	9409	7164.30888889	5113.14694444	39964	23261	59958.4749822	283843.994866
"173"	"2010-03-20"	5	NA	3645	3645	1824.59111111	1054.13638889	8310	4907	23645.9407427	79504.1179374
"174"	"2010-03-20"	17	NA	8891	8891	6379.22944444	4696.99222222	43502	23652	59943.9094043	249830.519589
"175"	"2010-03-21"	1	NA	9914	9914	9093.29944444	5511.46472222	50577	27163	11893410.3899	331638.601779
"176"	"2010-03-21"	13	NA	8420	8420	7158.15138889	4242.10944444	38814	22278	60965.847892	247351.537945
"177"	"2010-03-22"	8	1	8421	8421	7608.34805556	4956.61416667	40247	26064	61028.2952585	264072.575429
"178"	"2010-03-22"	21	20	9219	9219	7650.37555556	4536.05138889	42489	25169	7071796.43193	292717.955134
"179"	"2010-03-23"	4	NA	1609	1609	644.901111111	403.730555556	3357	2089	9844.60396584	36954.1065347
"180"	"2010-03-23"	16	1	9067	9067	5758.75388889	4025.28694444	31750	19212	52107.9423965	238654.007832
"181"	"2010-03-24"	0	NA	7118	7118	4113.06166667	2312.4325	20726	12315	54446.6771535	164420.127455
"182"	"2010-03-24"	12	NA	9336	9336	7029.69333333	4419.33888889	35092	22083	55819.7279121	239282.532695
"183"	"2010-03-25"	7	NA	8024	8024	5930.58666667	3316.91166667	31434	20677	54416.9742759	212125.242134
"184"	"2010-03-25"	19	NA	10788	10788	9519.3075	6339.02861111	53671	32025	80237.888197	379307.497311
"185"	"2010-03-25"	20	NA	10665	10665	9507.99833333	5859.48416667	50458	30058	81893.3691004	352169.285549
"186"	"2010-03-26"	3	0	3668	3668	1971.36694444	1087.08833333	10472	5988	21007.0167919	75801.674769
"187"	"2010-03-26"	15	NA	9435	9435	7641.95111111	4968.20277778	38226	23000	61774.5992263	266165.375636
"188"	"2010-03-27"	11	NA	8367	8367	6312.89972222	3519.355	35454	20971	51118.5363421	208920.46557
"189"	"2010-03-27"	23	NA	10327	10327	10103.3697222	6639.03694444	63261	32781	86378.9178595	374063.979846
"190"	"2010-03-28"	6	NA	2871	2871	1253.43305556	741.569166667	6617	4069	18051.7087602	59140.4277463
"191"	"2010-03-28"	18	NA	8552	8552	6585.52861111	3886.03416667	37242	20962	59184.7215953	235531.308763
"192"	"2010-03-29"	2	20	2474	2474	1286.63611111	694.570833333	6315	3784	13172.780016	47322.3531498
"193"	"2010-03-29"	14	2	9076	9076	7168.85916667	4460.86527778	37676	22538	4556573.68896	241781.250353
"194"	"2010-03-30"	2	NA	2444	2444	1186.56083333	620.026388889	5729	3509	12642.1278433	44451.0387436
"195"	"2010-03-30"	14	0	9415	9415	7409.61277778	4127.93555556	37008	21888	53004.6126253	228676.969283
"196"	"2010-03-31"	9	NA	9610	9610	8360.58611111	4957.10805556	40436	25410	60992.1119706	272202.691173
"197"	"2010-03-31"	10	NA	9518	9518	7402.89722222	4223.40111111	35406	21710	52769.4367143	232781.354074
"198"	"2010-03-31"	22	NA	9732	9732	8113.01416667	4867.09166667	45589	25903	78229.0839477	313017.33184
"199"	"2010-04-01"	6	NA	2631	2631	1341.28166667	743.236388889	9896	5134	15817.830532	56667.3705043
"200"	"2010-04-01"	18	NA	5939	5939	4963.75277778	3670.40194444	31340	15279	41229.8869785	197932.481358
"201"	"2010-04-02"	2	NA	3356	3356	2236.10194444	1159.93833333	13213	6315	21129.9869456	78647.1328282
"202"	"2010-04-02"	14	NA	5035	5035	4055.67111111	2750.28722222	25714	12670	34418.1081255	145719.068452
"203"	"2010-04-03"	9	NA	3504	3504	2084.81388889	1138.76916667	15647	7713	19903.5331094	75696.3831767
"204"	"2010-04-03"	10	NA	4009	4009	2794.78166667	1543.41722222	19882	9594	23613.5896287	94429.8171177
"205"	"2010-04-03"	22	NA	5533	5533	4335.0675	2726.47861111	31983	14558	36417.5766137	156737.252264
"206"	"2010-04-04"	5	NA	1777	1777	777.860277778	529.983055556	4972	2284	11113.5752327	37258.3573682
"207"	"2010-04-04"	17	NA	4486	4486	3172.46472222	2103.89555556	21929	10303	34333.7818514	129007.582462
"208"	"2010-04-05"	1	NA	2052	2052	995.568055556	593.65	6193	2985	12124.4388288	41819.5784231
"209"	"2010-04-05"	13	NA	4669	4669	3191.95972222	1935.62583333	21336	10434	28654.5155719	115969.614478
"210"	"2010-04-06"	8	NA	5077	5077	4286.57972222	2606.96305556	27213	14089	34444.300637	147745.928232
"211"	"2010-04-06"	21	NA	5503	5503	4249.9625	2634.45138889	28522	13937	41621.9557621	167434.470168
"212"	"2010-04-07"	4	NA	919	919	344.105277778	220.805277778	2541	1224	5012.20201892	17105.234979
"213"	"2010-04-07"	16	NA	5301	5301	3351.82111111	2511.84194444	22510	11220	31941.6849534	144649.809555
"214"	"2010-04-08"	0	NA	4506	4506	2626.51388889	1560.37361111	16961	8097	28634.8405393	106599.280443
"215"	"2010-04-08"	12	NA	5500	5500	4292.83111111	2808.42111111	25241	12884	32654.7586117	146817.196068
"216"	"2010-04-09"	7	NA	4466	4466	3182.40944444	2033.2675	22819	11838	30098.9665405	120162.735564
"217"	"2010-04-09"	19	NA	6170	6170	5267.32305556	3652.58166667	38048	18299	45473.4585379	215230.136891
"218"	"2010-04-09"	20	NA	6245	6245	5294.53305556	3467.66027778	37734	17945	46188.3264127	203283.439215
"219"	"2010-04-10"	7	NA	2180	2180	1008.64444444	568.477777778	7407	3696	12539.114287	43634.6623126
"220"	"2010-04-10"	19	NA	5790	5790	4813.61888889	3440.07888889	35635	16786	40674.2015106	177993.405922
"221"	"2010-04-10"	20	NA	5847	5847	4715.69444444	3279.82138889	34339	15973	39942.683047	178519.231918
"222"	"2010-04-11"	3	NA	4598	4598	3375.42555556	2006.73777778	21939	10188	35621.1103745	132331.888816
"223"	"2010-04-11"	15	NA	4855	4855	3617.07277778	2480.21638889	23377	11166	35636.1560997	141665.523053
"224"	"2010-04-12"	11	NA	4932	4932	3311.6475	2013.5225	19476	10179	27863.4353711	116122.620759
"225"	"2010-04-12"	23	NA	4194	4194	2584.55972222	1447.18861111	15596	7629	27448.2656456	101879.306581
"226"	"2010-04-13"	6	NA	2731	2731	1373.27972222	760.428611111	10478	5427	15830.7742069	57533.9121299
"227"	"2010-04-13"	18	NA	5804	5804	5080.32277778	3328.05277778	34150	17001	41143.5872005	197312.600997
"228"	"2010-04-14"	2	NA	1515	1515	661.304444444	382.986944444	4438	2172	7603.80557524	27385.0919917
"229"	"2010-04-14"	14	NA	5464	5464	4205.38777778	2751.71277778	25297	12988	34570.0433448	148971.037833
"230"	"2010-04-15"	9	NA	5545	5545	4618.02305556	3156.30333333	28046	14641	36951.3300598	165929.408587
"231"	"2010-04-15"	10	NA	5491	5491	4104.96166667	2647.83777778	24092	12541	31346.0969896	140144.664035
"232"	"2010-04-15"	22	NA	5954	5954	5054.83055556	3365.85388889	34921	16645	50413.3676634	205751.833434
"233"	"2010-04-16"	5	NA	1427	1427	559.724722222	368.718055556	4199	2056	9340.5840641	32362.649306
"234"	"2010-04-16"	17	0	5764	5764	4480.40138889	3083.14611111	30464	15022	37271.204281	177014.614274
"235"	"2010-04-17"	1	NA	5293	5293	3923.17972222	2401.21305556	25487	11932	38847.6767477	149811.734862
"236"	"2010-04-17"	13	NA	5031	5031	3908.48416667	2532.63361111	28292	13666	32654.7364094	140152.891071
"237"	"2010-04-18"	8	NA	2318	2318	1184.08222222	655.748888889	8900	4365	14104.4227339	49853.1303946
"238"	"2010-04-18"	21	NA	4235	4235	2761.87361111	1641.94138889	20167	9434	30088.8696201	114516.380016
"239"	"2010-04-19"	4	NA	822	822	340.688888889	224.651111111	2215	1118	5647.16522281	18316.7902097
"240"	"2010-04-19"	16	NA	5167	5167	3380.81138889	2219.84444444	22761	11447	32168.1443567	141252.725142
"241"	"2010-04-20"	4	NA	769	769	299.017222222	187.283888889	2048	1031	4402.5736939	14725.832333
"242"	"2010-04-20"	16	NA	5207	5207	3391.60333333	2339.79638889	22289	11238	31082.1267712	141474.026394
"243"	"2010-04-21"	0	NA	4064	4064	2295.09194444	1331.25861111	14038	7055	23688.4404961	90079.5680107
"244"	"2010-04-21"	12	NA	5448	5448	4080.11388889	2725.66361111	24761	12583	31135.9559217	143237.399556
"245"	"2010-04-22"	7	NA	4572	4572	3361.125	1997.37527778	22862	12090	30590.9432487	122591.809163
